SID,SEASON,BASIN,SUBBASIN,NAME,LAT,LON,DIST2LAND,LANDFALL,USA_WIND,USA_PRES,USA_SSHS,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,STORM_SPEED,STORM_DIR
2015012N09146,2015,WP,MM,MEKKHALA,11.2,127.2,154,114,68,972,1,28,28,28,28,9,290
2015012N09146,2015,WP,MM,MEKKHALA,11.4,126.7,107,79,70,970,1,30,30,30,30,10,300
2015012N09146,2015,WP,MM,MEKKHALA,11.7,126.3,83,48,68,972,1,30,28,28,30,10,300
2015012N09146,2015,WP,MM,MEKKHALA,11.9,125.8,39,10,65,974,1,30,25,25,30,9,300
2015047S12142,2015,SP,EA,LAM,-11.2,137.2,126,109,65,974,1,25,25,25,25,6,290
2015047S12142,2015,SP,EA,LAM,-11,136.9,120,114,68,972,1,25,25,25,25,5,290
2015047S12142,2015,SP,EA,LAM,-11,136.4,123,112,70,970,1,40,40,40,40,2,235
2015047S12142,2015,SP,EA,LAM,-11,136.3,114,95,73,969,1,40,40,40,40,3,215
2015047S12142,2015,SP,EA,LAM,-11.2,136.2,95,95,75,967,1,40,40,40,40,3,220
2015047S12142,2015,SP,EA,LAM,-11.2,136.1,99,89,78,965,1,40,35,40,40,3,230
2015047S12142,2015,SP,EA,LAM,-11.3,136,92,68,80,963,1,40,30,40,40,4,225
2015047S12142,2015,SP,EA,LAM,-11.5,135.9,68,44,85,960,2,40,35,35,43,4,220
2015047S12142,2015,SP,EA,LAM,-11.7,135.7,44,33,90,956,2,40,40,30,45,5,225
2015047S12142,2015,SP,EA,LAM,-11.8,135.5,35,22,95,952,2,40,40,30,45,5,225
2015047S12142,2015,SP,EA,LAM,-12,135.4,22,11,100,948,3,40,40,30,45,5,235
2015047S12142,2015,SP,EA,LAM,-12.1,135.1,15,10,83,961,2,40,40,30,45,5,235
2015047S12142,2015,SP,EA,LAM,-12.2,135.1,10,0,77,965,1,40,40,30,45,6,210
2015047S12142,2015,SI,WA,LAM,-12.4,135,0,0,65,974,1,40,40,30,45,7,205
2015047S15152,2015,SP,EA,MARCIA,-21.2,150.5,122,84,120,933,4,45,40,45,50,8,185
2015047S15152,2015,SP,EA,MARCIA,-21.7,150.5,84,22,125,929,4,40,40,50,50,10,0
2015047S15152,2015,SP,EA,MARCIA,-22.2,150.5,22,0,120,933,4,40,40,50,50,11,0
2015047S15152,2015,SP,EA,MARCIA,-22.6,150.5,10,0,117,936,4,40,40,50,50,11,185
2015047S15152,2015,SP,EA,MARCIA,-22.8,150.5,0,0,115,937,4,40,40,50,50,10,180
2015047S15152,2015,SP,EA,MARCIA,-23.3,150.5,0,0,95,952,2,40,40,50,50,10,175
2015047S15152,2015,SP,EA,MARCIA,-23.8,150.6,0,0,75,967,1,40,40,50,50,10,165
2015047S15152,2015,SP,EA,MARCIA,-24.2,150.8,0,0,65,975,1,40,40,45,45,9,150
2015066S08170,2015,SP,MM,PAM,-16.2,168.9,117,106,145,915,5,70,80,70,60,8,200
2015066S08170,2015,SP,MM,PAM,-16.6,168.8,106,96,150,911,5,70,80,70,60,9,195
2015066S08170,2015,SP,MM,PAM,-17,168.7,105,105,150,911,5,70,80,70,60,10,185
2015068S12151,2015,SP,EA,NATHAN,-14.7,146.5,133,82,93,954,2,33,43,40,33,9,265
2015068S12151,2015,SP,EA,NATHAN,-14.8,146,82,31,95,952,2,25,35,30,25,9,270
2015068S12151,2015,SP,EA,NATHAN,-14.8,145.5,31,15,98,950,3,35,43,35,33,9,275
2015068S12151,2015,SP,EA,NATHAN,-14.7,145.1,15,10,100,948,3,45,50,40,40,9,280
2015068S12151,2015,SP,EA,NATHAN,-14.7,145,10,0,98,949,3,45,50,40,40,9,285
2015068S12151,2015,SP,EA,NATHAN,-14.6,144.6,0,0,90,956,2,43,48,38,38,9,285
2015068S12151,2015,SP,EA,NATHAN,-14.5,144.2,0,0,80,963,1,40,45,35,35,9,280
2015068S12151,2015,SP,EA,NATHAN,-14.5,143.7,0,0,73,969,1,40,45,35,35,9,275
2015068S12151,2015,SP,EA,NATHAN,-14.4,143.2,0,0,65,974,1,40,45,35,35,9,275
